title,alt_title,director,country,year,feature,wikidata
The Miracle,Le Miracolo,Roberto Rossellini,Italy,1948,,
Mother Joan Of The Angels,Matka Joanna Od Aniolow,Jerzy Kawalerowicz,Poland,1961,feature,Q2339978
A Note From Above,,Derek Phillips,Great Britain,1969,,Q122811219
Maria-Conception-Action-Hermann Nitsch,Maria-Empfangnis-Aktion-Hermann Nitsch,Irm and Ed Sommer,West Germany,1969,,Q122661848
The Nun,La Religieuse,Jacques Rivette,France,1965,feature,Q965569
Rape,,Wim van der Linden,Holland,1966,,Q122811220
The Sin Of Jesus,,Robert Frank,,1961,,Q61977538
Roma,,Federico Fellini,Italy,1972,feature,Q18423
Simon Of The Desert,,Luis Bunuel,Mexico,1966,feature,Q2357585
Viridiana,,Luis Bunuel,Mexico,1961,feature,Q852841
The Andromeda Strain,,Robert Wise,USA,1971,feature,Q499036
Day Of Wrath,Vredens Dag,Carl Theodor Dreyer,Denmark,1943,feature,Q1754532
The Big Shave,,Martin Scorsese,USA,1967,,Q2005061
Bitter Grapes,,Richard Bartlett,USA,1968,,Q122661811
The Fire Walkers,Anastenaria,Roussos Condouros,Greece,1961,,
Good Morning,Ohayo,Yasujiro Oza,Japan,1960,feature,Q618118
Here Comes Every Body,,John Whitmore,USA,1972,feature,Q122811221
The House Is Black,,Foroogh Farrokhzad,Iran,1963,,Q1168890
Look At Life,,Nicholas Gosling,Great Britian,1969,,Q122811228
Le Sang,Blood,Jean-Daniel Pollet,France,1971,feature,Q85853792
Saturday Morning,,Kent Mackenzie,USA,1970,feature,Q122661775
La Taranta,,Gianfranco Mengozzi,Italy,1961,,Q3981080
Selective Service System,,Warren Haack,USA,1970,,Q122811222
Allures,,Jordan Belson,USA,1961,,Q2109452
Apotheosis,,John Lennon,Great Britain,1970,,Q58814795
Bed And Sofa,Tretya Meshchanskaya,Abram Room,USSR,1927,,Q1977969
Breathing Together: Revolution Of The Electric Family,,Morley Markson,Canada,1970,feature,Q109974393
Co-Co Puffs,,Ira Wohl,USA,1972,,Q122661809
Family,,Hubert Smith,USA,1971,,Q122811225
Fata Morgana,,Werner Herzog,Germany,1970,feature,Q2266061
Free Radicals,,Len Lye,USA,1957?,,Q116144
Glen And Randa,,Jim McBride,USA,1971,feature,Q4139699
A Hard Day's Night,,Richard Lester,Great Britain,1964,feature,Q913311
Lapis,,James Whitney,USA,1963-67,,Q64995744
Lightning Waterfall Fern Soup,,Shelby Kennedy,USA,1971,,Q122811224
Paradise Now,,Sheldon Rachlin,Great Britain,1970,,Q25409880
Nebula Ii,,Robert Frerck,USA,1971,,Q122811208
Samadhi,,Jordan Belson,USA,1968,,Q122661771
This Is It,,James Broughton,USA,1971,,Q122661776
Self-Obliteration,,Jud Yalkut,USA,1967,,
