title,alt_title,director,country,year,feature,wikidata
"Tom, Tom, The Piper's Son",,Ken Jacobs,USA,1969,feature,Q4445366
Vampyr,,Pedro Portabella,Spain,1970,feature,
Katzelmacher,,Rainer Werner Fassbinder,West Germany,1969,feature,Q567519
La Verifica Incerta,,Gian Franco Berucello and Alberto Griffi,Italy,1965,,
Before The Revolution,Prima Della Rivoluzione,Bernardo Bertolucci,Italy,1964,feature,Q239630
Breathless,A Bout De Souffle,Jean-Luc Godard,France,1959,feature,Q86427
The Chronicle Of Anna Magdalena Bach,Chronik Der Anna Magdalena Bach,Jean-Marie Straub,Germany,1967,feature,Q1114312
Touch Of Evil,,Orson Welles,USA,1957,feature,Q778161
The Red And The White,"Csillagosok, Katonak",Miklos Jancso,Hungary,1968,feature,Q873313
Twice A Man,,Gregory J. Markopoulos,USA,1963,feature,Q101111336
Wavelength,,Michael Snow,USA,1967,,Q2423867
The Last Laugh,Der Letzte Mann,F.W. Murnau,Germany,1924,feature,Q258830
Running Shadow,,Robert Fulton,USA,1971,feature,Q122811233
Red Song,Meg Ker A Nep,Miklos Jancso,Hungary,1972,feature,
Variety,Variete,Ewald Andre Dupont,Germany,1925,feature,Q554984
Color Film,,Standish Lawder,USA,1971,,Q122661797
A Film,Un Film,Sylvina Boissonnas,France,1969,,Q122661827
Kiss,,Andy Warhol,USA,1962,,Q1743744
Naissant,,Stephen Dwoskin,Great Britain,1967,,Q122661770
Particle Removal Series,,David McCullough,USA,1972,,Q122811210
On A Most Beautiful Meadow,Im Schonsten Wiesengrunde,Peter Von Guten,Switzerland,1968,,Q122661839
Railroad,,Lutz Mommartz,Germany,1967,,
Runaway,,Standish Lawder,USA,1970,,Q122661788
Sleep,,Andy Warhol,USA,1963-64,feature,Q1465774
Bells Of Atlantis,,Ian Hugo,USA,1953,,Q121316070
Ballet Mechanique,,Fernand Leger,France,1924,,Q805227
Beyond The Law,,Norman Mailer,USA,1968,feature,Q58814597
Blazes,,Robert Breer,USA. 1961,,,Q122811217
Black Tv,,Aldo Tambellini,USA,1969,,Q122811216
Damon The Mower,,George Dunning,Great Britain,1971,,Q122661819
Flicker,,Tony Conrad,USA,1966,,Q2411410
H 2 0,,Ralph Steiner,USA,1929,,
Innocence Unprotected,Nevinost Bez Zastite,Dusan Makavejev,Yugoslavia,1968,feature,Q2487851
Institutional Quality,,George Landow,USA,1969,,
For Example,,S. Arakawa,USA,1971,feature,
The Man Who Left His Will On Film,Tokyo Senso Sengo Hiwa,Nagisa Oshima,Japan,1970,feature,Q515626
Permutations,,John Whitney,USA,1968,,Q122661843
Persona,,Ingmar Bergman,Sweden,1965-66,feature,Q695255
Arnulf Rainer,,Peter Kubelka,Austria,1957,,Q21999896
Razor Blades,,Paul Sharits,USA,1968,,Q122661801
"N.Y., N.Y.",,Francis Thompson,USA,1958,,Q6951584
The Secret Cinema,,Paul Bartel,USA,1966,,Q7762993
Ufo's,,Lillian Schwartz and Ken Knowlton,USA,1972,,
The Bells Of Silesia,Das Unheil,Peter Fleischmann,West Germany,1972,feature,Q1170630
Black Panthers,,Agnes Varda,USA,1969,,Q2905436
The Cry Of Jazz,,Edward Bland,USA,1959,,Q2873708
Deadline For Action,,Union Films,USA,1948?,,
Delaware,,Newsreel film collective,USA,1968/69,,
Eight Flags For 99 Cents,,Charles Olin,USA,1970,,
An Evil Hour,,Peter Wolff,USA,1970,,Q122811211
The Battle Of Algiers,,Gillo Pontecorvo,Italy,1966,feature,Q784812
Guidebook To Bonn And Environs,Stadtfuhrer Fur Bonn Und Umgebung,Manfred Vosz,West Germany,1969,,Q122661820
Hail,,Fred Levinson,USA,1971,feature,Q30598450
The Hamburg October 1923 Insurrection,Der Hamburger Aufstand October 1923,"Reiner Etz,Gisela Tuchtenhagen,Klaus Wildenhahn",West Germany,1972,,
Hog Calling Blues,,Neal Pace,USA,1969,,Q122811214
The Great Society,,Fred Mogubgub,USA,1967?,,Q122661799
The Murder Of Fred Hampton,,Mike Gray,USA,1971,,Q7752676
Land Without Bread,Las Hurdes,Luis Bunuel,Spain,1932,,Q2606896
Ice,,Robert Kramer,USA,1970,feature,Q1656084
I'm A Man,,Peter Rosen,USA,1969,,Q122661825
I'm Going To Give You All My Love,,Jerrold Peil,USA,1971,,
O Dreamland,,Lindsay Anderson,Great Britain,1953,,Q518882
Mickey Mouse In Vietnam,,Lee Savage,USA,1968,,Q6838747
Palestine,,Nick McDonald,USA,1971,,Q122811234
The People And Their Guns,Le Peuple Et Ses Fusils,Joris Ivens and film collective,France,1967,feature,Q59692842
Pravda,,Jean-Luc Godard and Dziga Vertov group,France,1969,feature,Q3281163
Punishment Park,,Peter Watkins,Great Britain,1971,feature,Q1348016
The Revolutionary Was A Cop,,Marc Weiss,USA,1971,,
Recruits In Ingolstadt,Pioniere In Ingolstadt,Rainer Werner Fassbinder,West Germany,1971,feature,Q3905449
"Robert Wall, Ex-Fbi Agent",,Michael Anderson,Paul Jacobs,Saul Landau,,
Saint Michael Had A Rooster,San Michele Aveve Un Gallo,Paolo and Vittorio Taviani,Italy,1971,feature,Q3463988
The Spanish Earth,,Joris Ivens,USA,1937,feature,Q3518630
Spain 68,Espana 68,Unitelefilm Collective,Italy,1968,,
See You At Mao,,Jean-Luc Godard and Dziga Vertov group,France,Great Britain,feature,Q979271
12-12-46,,Bernard Stone,USA,1966,,Q122661824
Wholly Communion,,Peter Whitehead,Great Britain,1965,,Q3545779
Yippie,,Yippie Film Collective,USA,1968,,
The Sudden Wealth Of The Poor People Of Kombach,Der Plotzliche Reichtum Der Armen Leute Von Kombach,Volker Schloendorff,West Germany,1971,feature,Q1199485
"Valparaiso, Valparaiso",,Pascal Aubier,France,1971,feature,Q16682279
The Woman's Film,,"Judy Smith,Louise Alaimo,Ellen Sorren, San Francisco Newsreel film collective", USA, 1971,,
Sunday,,Dan Drasin,USA,1961,,Q122811229
Susan After The Sugar Harvest,,Peter Robinson,USA,1971,,Q122661812
Three Lives,,Kate Millet,USA,1971,feature,Q122661832
Troublemakers,,Robert Machover and Norman Fruchter,USA,1966,feature,Q122811239
"An Affair Of The Heart, Or The Tragedy Of A Switchboard Operator",Ljubavni Slucaj Ili Tragedija Sluzbenice P.T.T.,Dusan Makavejev,Yugoslavia,1967,feature,Q666364
Alone,Magany,Vince Lakatos,Hungary,1969,,Q122661806
Among Men,Wuearod Ludzi,Wladyslaw Slesicki,Poland,1962,,Q122661780
...And The Fifth Horseman Is Fear,A Paty Jezdec Je Strach ...,Zbynek Brynych,Czechoslavakia,1964,,Q7733763
The Apartment,Byt,Jan Svankmajer,Czechoslavakia,1968,,Q36530326
"Birds, Orphans, And Fools","Ptackove, Sirotci A Blazni",Juro Jakubisco,France,1971,feature,Q3234328
Be Sure To Behave,A Sekat Dobrotu,Peter Solan,Czechoslavakia,1968,,Q122661815
Daisies,Sedmikrasky,Vera Chytilova,Czechoslavakia,1966,feature,Q910705
The Chair,Fotel,Daniel Szczechura,Poland,1963,,Q65032285
Early Works,Rani Radovi,Zelimir Zilnik,Yugoslavia,1969,feature,Q2026238
Fireman's Ball,Hori Ma Panenko,Milos Forman,Czechoslavakia,1967,feature,Q1193389
The Fly,Muha,Aleksander Marks and Vladimir Jutrisa,Yugoslavia,1967,,Q21869357
Identification Marks:  None,,Jerzy Skolimowski,Poland,1964,feature,Q3483691
The Deserter And The Nomads,,Juro Jakubisco,Czechoslavakia,1968,feature,Q12779318
Home,Dom,Walerian Borowczyk and Jan Lenica,Poland,1958,,Q5289717
The Machine,Maszyna,Daniel Szchechura,Poland,1963,,Q122661833
My Dearest Wish,,Jan Spata,Czechoslavakia,1965,,
Per Aspera Ad Astra,,Nedeljko Dragic,Yugoslavia,1969,,Q122661808
Demonstrations,Strahov,Vera Chytilova,Czechoslavakia,1966,feature,
The Joke,Zert,Jaromil Jires,Czechoslavakia,1968,feature,Q774805
Merry Working Class,Vesela Klasa,Bojana Marija,Yugoslavia,196?,,
Labyrinth,Labirynth,Jan Lenica,Poland,1962,,Q3825168
Don Quixote,Don Kihote,Vlado Kristl,Yugoslavia,1961,,Q104882421
Not All That Flies Is A Bird,Nije Ptica Sve Sto Leti,Borislav Sajtinac,Yugoslavia,1970,,Q112869510
Student Strikes,Lipanjska Gibanja,Zelimir Zilnik,Yugoslavia,1968,,Q12754580
Jan Palach,,Anonymous,Czechoslavakia,1969,,
The Technique And The Rite,La Tecnica E Il Rito,Miklos Jancso,Italy,1971,feature,Q15824929
Untitled,Bez Naslova,Borivoj Dovnikovic,Yugoslavia,1965,,Q122661844
The Wall,Zid,Ante Zaninovic,Yugoslavia,1966,,Q104834371
Ordinary Courage,,Evald Schorm,Czechoslavakia,1964,feature,
Andrei Roublev,Andrej Rubljow,Andrei Tarkovsky,USSR,1962-66,feature,Q503046
Report On The Party And The Guests,O Slavnosti A Hostech,Jan Nemec,Czechoslavakia,1966,feature,Q4659196
Wandering,Bloudeni,Jan Curik and Antonin Masa,Czechoslavakia,1965,feature,
Wr - Mysteries Of The Organism,Wr - Misterije Organizma,Dusan Makavejev,Yugoslavia,1971,feature,Q2587098
The Round-Up (Aka The Hopeless Ones),Szegenylegenyek,Miklos Jancso,Hungary,1965,feature,Q531109
Two Men And A Wardrobe,Dwaj Ludzie Z Stafa,Roman Polanski,Poland,1957,,Q232095
The Alienist,Il Alienista,Nelson Pereira Dos Santos,Brazil,1970,feature,Q7713116
Antonio-Das-Mortes,,Glauber Rocha,Brazil,1969,feature,Q2435697
Blood Of The Condor,Yawar Mallku,Jorge Sanjines,Bolivia,1970,feature,Q4927841
Apropos Of A Person Variously Called Holy Lazarus Or Babalu,Acerca De Un Personaje Que Unos Llaman San Lazaro Y Otros Llaman Babalu,Octavio Cortazar,Cuba,1968,,
Child Undernourishment,Desnutricion Infantil,Alvaro Ramirez,Chile,1969,,Q122811231
Culebra:  The Beginning,,Diego de la Texera,Puerto Rico,1971,,
Emitai,,Ousmane Sembene,Senegal,1971,feature,Q5372649
The First Charge Of The Machete,La Primera Carga Al Machete,,,,,
The Heirs,Os Herdeiros,Carlos Diegues,Brazil,1968/9,feature,Q3233271
The Secret Formula,La Formula Secreta,Ruben Gomez,Mexico,1966,feature,Q19516217
79 Springtimes,79 Primaveras,Santiago Alvarez,Cuba,1969,,Q122661835
The Hour Of The Blast Furnaces,La Hora De Los Hornos,Fernando Solanas,Argentina,1967,feature,Q3950846
Time Of Violence,Tempo Di Violencia,Anonymous,Argentina,1970,,
The Gods And The Dead,Os Deuses E Os Mortos,Ruy Guerra,Brazil,1970,,Q3232105
Macunaima,,Joachim Pedro de Andrade,Brazil,1969,feature,Q1576347
Mandabi,The Money Order,Oushane Sembene,Senegal,1968,feature,Q2014254
Prato Palomares,,Andre Faria,Brazil,1970,feature,Q10353198
Que Hacer?,,"Saul Landau,James Becket,Raul Ruiz",Chile-USA, 1970,,Q8076381
Reed: Mexico Insurgent,Reed:  Mexico Insurgente,Paul Leduc,Mexico,1971,feature,Q7306615
Holiday On Sylt,Urlaub Auf Sylt,Annelie and Andrew Thorndike,East Germany,1959,,Q69356005
O.K.,,Walter Heynowski,East Germany,1964,,Q122661793
Pilots In Pajamas,Piloten Im Pyjama,Walter Heynowski and Gerhard Scheumann,East Germany,1968,feature,Q106233916
Superior Toys - Made In The Usa,Feine Spielwaren - Made In Usa,Guenter Raetz,East Germany,1969,feature,
The Laughing Man,,Walter Heynowski and Gerhard Scheumann,East Germany,1967,,Q1199308
Triumph Of The Will,Triumph Des Willens,Leni Riefenstahl,Germany,1936,feature,Q156497
Baptism Of Fire,Feuertaufe,Hans Bertram,Germany,1940,feature,Q122661818
The Eternal Jew,Der Ewige Jude,Fritz Hippler,Germany,1940,feature,Q165642
Beauty Knows No Pain,,Elliot Erwitt,USA,1971,,Q122661829
Acupunctural Anaesthesia,,Peking Television,People's Republic of China,1971?,,
Boy,Shonen,Nagisa Oshima,Japan,1969,feature,Q283172
Ai,Love,Yoji Kuri,Japan,1964,,
The Casting,,James Pasternak,USA,1971,,Q122661845
Claire's Knee,Le Genou De Claire,Eric Rohmer,France,1970,feature,Q1094852
Cuckoo Waltz,,Edward van Moerkerken,Holland,1955,,Q122661846
Dinner Three Minutes,,Jean-Paul Vroom,Netherlands,1969,,
The Dove,,George Coe,USA,1971,,Q7730768
Dreams That Money Can Buy,,Hans Richter,USA,1948,feature,Q2362995
Faces,,John Cassavetes,USA,1968,feature,Q2241601
Eikka Katappa,,Werner Schroeter,West Germany,1970,feature,Q3049378
Gestapoman Schmidt,Powszedni Dzien Gestapowsca Schmidta,Jerzy Ziarnik,Poland,1964,,
Happiness,Le Bonheur,Agnes Varda,France,1966,feature,Q1168501
How I Became A Negro,Wie Ich Ein Schwarzer Wurde,Roland Gall,West Germany,1970,feature,Q30521223
"I Love You, I Kill You","Ich Liebe Dich, Ich Tote Dich",Uwe Brandner,West Germany,1971,feature,Q17630794
The Japanese Sword,Nihonto - Monogatari,T. Asano,Japan,1958,,
Land Of Silence And Darkness,Land Des Schweigens Und Der Dunkelheit,Werner Herzog,West Germany,1971,feature,Q2870474
The Mailman,Postschi,Daryush Mehrjui,Iran,1971,feature,Q5945562
"Margalit, The Highway Queen",,Menahem Golan,Israel,1971,feature,Q6585182
Moonwalk No. 1,,,USA,1971,feature,
Paris Belongs To Us,Paris Nous Appartient,Jacques Rivette,France,1958/60,,Q25513
The Revealer,Le Revelateur,Phillippe Garrel,France,1968,feature,Q6507640
Titicut Follies,,Frederick Wiseman,USA,1967,feature,Q144521
Tales Of Kubelkind,Geschichten Vom Kubelkind,Ula Stoeckl and Edgar Reitz,West Germany,1970,feature,Q28788752
The Scandalous Adventures Of Buraikan,,Masahiro Shinoda,Japan,1970,feature,Q2928298
Salesman,,David and Albert Maysles,USA,1969,feature,Q2586674
The Bed,,James Broughton,USA,1967,,Q122661772
Documentary Footage,,Morgan Fisher,USA,1968,,Q122661810
Fly,,Yoko Ono,USA,1971,,Q104863118
Number 4,,Yoko Ono,Great Britain,1968,,
Black Pudding,,Nancy Edell,Great Britain,1971,,Q122811226
"""Beaver"" Films",,,USA,1970 ff.,,
The Continuing Story Of Carel And Ferd,,Arthur Ginsberg,USA,1972,feature,Q20874589
Coming Apart,,Milton Moses Ginsberg,USA,1969,feature,Q16950461
Barbarella,,Roger Vadim,France,1968,feature,Q41132
Dear John,,Lars Magnus Lindgren,Sweden,1964,feature,Q653375
Everready,,Anonymous,USA,circa 1925,,
Electrosex,,Anonymous,USA,1970,,
Fuses,,Carolee Schneemann,USA,1964-67,,Q111723679
The Go-Between,,Joseph Losey,Great Britain,1971,feature,Q664020
History Of The Blue Movie,,Alex de Renzie,USA,1971,feature,Q4657342
I Am Curious - Yellow / Blue,Jag Ar Nyfiken - Gul / Bla,Vilgot Sjoman,Sweden,1967,feature,Q2054210
Last Tango In Paris,,Bernardo Bertolucci,France/Italy,1972,feature,Q570567
Kodak Ghost Poems,,Andre Noren,USA,1970,feature,
Orange,,Karen Johnson,USA,1969,,Q122811227
Psychomontage,,Eberhard and Phyllis Kronhausen,USA,1960?,,Q122661847
Schoolgirl,,David Reberg,USA,1971,feature,
Secrets Of Life,,Victor Faccinto,USA,1971,,
Sex,,David Avidan,Israel,1971,,Q122661807
Shadow Of An Apple,,Robert Lapoujade,France,1965?,,
Tales,,Cassandra Gerstein,USA,1970,feature,Q122811232
A Stranger Knocks,,Johan Jacobsen,Denmark,1963,feature,Q12310044
Take Me,,Stephen Dwoskin,Great Britian,1969,,Q122661773
What Goes On At Sex Therapy Clinics,,Community Medical Cablecasting,USA,1972,,
The Abonimable Dr. Hitchcock,L'Orribile Segreto Del Dottor Hitchcock,Riccardo Freda aka Robert Hampton,Italy,1962,feature,Q2294282
Belle De Jour,,Luis Bunuel,France,1966,feature,Q470375
The Bloodthirsty Fairy,La Fee Sanguinaire,Roland Lethum,Belgium,1968,,Q61978411
Blow Job,,Andy Warhol,USA,1963/64,,Q885485
Un Chant D'Amour,,Jean Genet,France,1950,,Q1304788
But Do Not Deliver Us From Evil,Mais Ne Nous Deliverez Pas Du Mal,Joel Seria,France,1971,feature,Q3278514
Cybele,,Donald Ritchie,Japan,1968,,Q122661828
A Clockwork Orange,,Stanley Kubrick,Great Britain,1971,feature,Q181086
Le Depart,,Jerzy Skolimowski,Belgium,1967,feature,Q1197125
Diary Of A Shinjuku Burglar,Shinjuku Dorobo Nikki,Nagisa Oshima,Japan,1968/69,feature,Q1137042
Fireworks,,Kenneth Anger,USA,1947,,Q670589
Flaming Creatures,,Jack Smith,USA,1962,,Q947538
Flesh Of Morning,,Stan Brakhage,USA,1956,,Q122661816
Death In Venice,Morte A Venezia,Luschino Visconti,Italy,1971,feature,Q742308
Fragment Of Seeking,,Curtis Harrington,USA,1946,,Q122661814
Frenzy,,Alfred Hitchcock,Great Britain,1971,feature,Q221587
Heat,,Paul Morrisey,USA,1972,feature,Q1149669
"It Is Not The Homosexual Who Is Perverse, But The Situation In Which He Lives","Nicht Der Homosexuelle Ist Pervers, Sodern Die Situation, In Der Er Lebt",Rosa von Praunheim,West Germany,1971,feature,Q457675
Lovemaking,,Stan Brakhage,USA,1969,,Q122661778
Mona,,Bill Osco,USA,1970,feature,
The Man From Onan,,Alan Ruskin,USA,1971,feature,Q122811213
Murmur Of The Heart,Souffle Au Coeur,Louis Malle,France,1971,feature,Q686059
Particularly Valuable,Besonders Wertvoll,Helmuth Costard,Germany,1968,,Q830018
Portrait Of Jason,,Shirley Clarke,USA,1967,feature,Q15052466
Sodoma,,Otto Muehl,Austria,1970,feature,Q122661782
The Suppression Of Women Is Recognizable Above All By The Behavior Of The Women Themselves!,Die Unterdruck Der Frauen Ist Vor Allenam Verhalten Der Frauen Selber Zu Erkennen!,Helmuth Costard,West Germany,1969,feature,Q15805836
Violated Angels,Okasareta Byakui,Koji Wakamatsu,Japan,1967,feature,Q3230564
Trash,,Paul Morrisey,USA,1970,feature,Q963014
Why,Hvorfor Goer De Det?,Phyllis and Eberhard Kronhausen,Denmark,1971,feature,Q20728906
All My Babies,,George Stoney,USA,1953,,Q2326990
The Beginning Of Life,Sa Borgar Livet,Lars Wallen,Sweden,1968,,Q122811212
Kirsa Nicholina,,Gunvor Nelson,USA,1970,,Q122661798
The Private Life Of A Cat,,Alexander Hammid,USA,1946,,Q25999725
Window Water Baby Moving,,Stan Brakhage,USA,1959,,Q8024356
The Act Of Seeing With One's Own Eyes,,Stan Brakhage,USA,1972,,Q7712293
The Atom Strikes,,Army Pictorial Service,US Signal Corps for War Department,USA,,Q7714831
Birth And Death,,Arthur and Evelyn Barron,USA,1968,feature,Q122661849
The Blood Of The Beasts,Le Sang Des Betes,Georges Franju,France,1949,,Q3226906
Diabolique,Les Diaboliques,Henri-Georges Clouziot,France,1955,feature,Q739046
The End Of One,,Paul Kocela,USA,1971,,Q122811215
Forbidden Bullfight,Corrida Interdite,Denyus Columb de Daunant,,,,
Forbidden Games,Jeux Inderdits,Rene Clement,France,1952,feature,Q976558
Germ And Chemical Warfare,,CBS News,USA,1968,,
Interviews With My Lai Veterans,,Joseph Strick,USA,1971,,Q1671458
It Is Good To Live,,Fumio Kamei,Japan,1958,,
Meditation On The End Of Human Life,Posledni Veci Cloveka,Jovan Kubicek,Czechoslavakia,1967,,
A Movie,,Bruce Conner,USA,1958,,Q2650998
Necrology,,Standish Lawder,USA,1969,,Q122661790
Wintersoldier,,Winterfilm Collective,USA,1972,,Q8026319
The Race,,William Copland,Australia,1970,,
Reflection,Zrcadleni,Evald Schorm,Czechoslavakia,1965,,
Rite Of Love And Death,,Yukio Mishima,Japan,1965,,
Sirius Remembered,,Stan Brakhage,USA,1959,,Q122661785
To Live,Vivre,Carlos Vilardebo,France,1960?,,Q122661834
The Twilight Of The Damned,L'Aube Des Damnes,Ahmed Rachedi,Algeria,1970,feature,
"Vietnam, Land Of Fire",,No credits available,France,1966,,
When Love Falls Episode In Love And The City,,Michelangelo Antonioni,Italy,1953,,
The War Game,,Peter Watkins,Great Britain,1965,,Q1248388
Archaeology,Archaeologia,Andrzej Brzozowski,Poland,1967,,Q9158966
A Town Presented To The Jews As A Gift By The Fuhrer,Mesto Darovane,Vladimir Kressl,Czechoslavakia,1968,,Q11775225
Camps Of The Dead,,Allied cameramen,France,1947,,
Butterflies Do Not Live Here,Motyli Tady Neziji,Miro Bernat,Czechoslovakia,1958,,Q44916819
Chotyn - 5 Km,,Igor Kolovsky,USSR,1968,,
The Games Of The Angels,Les Jeux Des Anges,Walerian Borowczyk,France,1964,,Q3830878
Distant Journey,Ghetto Terezin,Alfred Radok,Czechoslovakia,1948,feature,Q5282888
I Was A Kapo,Bylem Kapo,Tadeusz Jaworski,Poland,1964,,
Memorandum,,Donald Brittain and John Spotten,Canada,1966,,Q6815312
Night And Fog,Nuit Et Brouillard,Alain Resnais,France,1955,,Q706373
"Sighet, Sighet",,Harold Becker,USA,1967,,Q122661804
Warsaw Ghetto,,Anonymous,Germany,1943/44,,
L'Age D'Or,,Luis Bunuel,France,1930,feature,Q946849
Archangel Gabriel,Archandel Gabriel A Pani Husa,Jiri Trnka,Czechoslavakia,1965,feature,Q3202256
Constitution And Censorship,,Stephen Sharff,USA,1953,,Q122811236
Every Seventh Child,,Jack Willis,USA,1967,,Q122661805
L'Imitation Du Cinema,,Marcel Marien,Belgium,1959,,Q14942129
Marjoe,,Howard Smith and Sarah Kernochan,USA,1972,feature,Q1763495
