wikidata,label
Q122661827,"A Film (Sylvina Boissonnas, 1969)"
Q1743744,"Kiss (Andy Warhol, 1963)"
Q122661770,"Naissant (Stephen Dwoskin, 1967)"
Q122811210,"Particle Removal Series (David McCullough, 1972)"
Q122661839,"On A Most Beautiful Meadow (Peter von Gunten, 1968)"
Q122929114,"Railroad (Lutz Mommartz, 1967)"
Q122661788,"Runaway (Standish Lawder, 1970)"
Q1465774,"Sleep (Andy Warhol, 1964)"
Q121316070,"Bells Of Atlantis (Ian Hugo, 1953)"
Q805227,"Ballet Mécanique (Dudley Murphy/Fernand Léger, 1924)"
Q58814597,"Beyond the Law (Norman Mailer, 1968)"
Q122811217,"Blazes (Robert Breer, 1961)"
Q122811216,"Black TV (Aldo Tambellini, 1969)"
Q122661819,"Damon The Mower (George Dunning, 1971)"
Q2411410,"The Flicker (Tony Conrad, 1965)"
Q2187512,"H2O (Ralph Steiner, 1929)"
Q2487851,"Innocence Unprotected (Dušan Makavejev, 1968)"
Q122929115,"Institutional Quality (George Landow, 1969)"
Q122871145,"For Example (Shusaku Arakawa, 1971)"
Q515626,"The Man Who Left His Will on Film (Nagisa Ōshima, 1970)"
Q122661843,"Permutations (John Whitney, 1968)"
Q695255,"Persona (Ingmar Bergman, 1966)"
Q21999896,"Arnulf Rainer (Peter Kubelka, 1960)"
Q122661801,"Razor Blades (Paul Sharits, 1968)"
Q6951584,"N.Y., N.Y. (Francis Thompson, 1957)"
Q7762993,"The Secret Cinema (Paul Bartel, 1968)"
Q122830619,"UFO's (Lillian Schwartz, 1972)"
Q1170630,"Havoc (Peter Fleischmann, 1972)"
Q2905436,"Black Panthers (Agnès Varda, 1968)"
Q2873708,"Cry of Jazz (Edward Bland, 1959)"
Q122929116,Deadline For Action (1948)
Q122929117,Delaware (1968)
Q122929118,"Eight Flags For 99 Cents (Charles Olin, 1970)"
Q122811211,"An Evil Hour (Peter Wolff, 1970)"
Q784812,"The Battle of Algiers (Gillo Pontecorvo, 1966)"
Q122661820,"Guidebook To Bonn And Environs (Manfred Vosz, 1969)"
Q30598450,Hail (1972)
Q122929119,"The Hamburg October 1923 Insurrection (Reiner Etz, 1972)"
Q122811214,"Hog Calling Blues (Neal Pace, 1969)"
Q122661799,"The Great Society (Fred Mogubgub, 1967)"
Q7752676,"The Murder of Fred Hampton (Howard Alk, 1971)"
Q2606896,"Land Without Bread (Luis Buñuel, 1933)"
Q1656084,"Ice (Robert Kramer, 1969)"
Q122661825,"I'M A Man (Peter Rosen, 1969)"
Q122830615,"Gonna Give You My Love (Jerrold A. Peil, 1971)"
Q518882,"O Dreamland (Lindsay Anderson, 1953)"
Q6838747,"Mickey Mouse in Vietnam (Lee Savage, 1969)"
Q122811234,"Palestine (Nicholas Macdonald, 1971)"
Q59692842,"Q59692842 (Jean-Pierre Sergent/Joris Ivens, 1970)"
Q3281163,"Pravda (Jean-Henri Roger/Jean-Luc Godard/Paul Burron, 1969)"
Q1348016,"Punishment Park (Peter Watkins, 1971)"
Q122830604,"The Revolutionary Was a Cop: Tommy the Traveler (Marc Weiss, 1971)"
Q3905449,"Pioneers in Ingolstadt (Rainer Werner Fassbinder, 1970)"
Q122929120,"Robert Wall, Ex-Fbi Agent (1972)"
Q3463988,"St. Michael Had a Rooster (Paolo Taviani/Vittorio Taviani, 1972)"
Q3518630,"The Spanish Earth (Joris Ivens, 1937)"
Q122929121,Spain 68 (1968)
Q979271,"British Sounds (Jean-Luc Godard, 1969)"
Q122661824,"12-12-46 (Carmen D'Avino, 1966)"
Q3545779,"Wholly Communion (Peter Whitehead, 1965)"
Q122929122,Yippie (1968)
Q1199485,"The Sudden Wealth of the Poor People of Kombach (Volker Schlöndorff, 1971)"
Q16682279,"Valparaiso, Valparaiso (Pascal Aubier, 1971)"
Q122929123,The Woman's Film (1971)
Q122811229,"Sunday (Dan Drasin, 1961)"
Q122661812,"Susan After The Sugar Harvest (Peter Robinson, 1971)"
Q122661832,"Three Lives (Kate Millett, 1971)"
Q122811239,"Troublemakers (Norman Fruchter, 1966)"
Q666364,"Love Affair, or the Case of the Missing Switchboard Operator (Dušan Makavejev, 1967)"
Q122661806,"Alone (Vince Lakatos, 1969)"
Q122661780,"Among Men (Władysław Ślesicki, 1962)"
Q7733763,"The Fifth Horseman is Fear (Zbyněk Brynych, 1964)"
Q36530326,"The Flat (Jan Švankmajer, 1968)"
Q3234328,"Birds, Orphans and Fools (Juraj Jakubisko, 1969)"
Q122661815,"Be Sure To Behave (Peter Solan, 1968)"
Q910705,"Daisies (Rudolf Jaroš/Věra Chytilová, 1966)"
Q65032285,"The Chair (Daniel Szczechura, 1964)"
Q2026238,"Early Works (Želimir Žilnik, 1969)"
Q1193389,"The Fireman's Ball (Miloš Forman, 1967)"
Q21869357,The Fly (1968)
Q3483691,"Identification Marks: None (Jerzy Skolimowski, 1964)"
Q12779318,"The Deserter and the Nomads (Juraj Jakubisko, 1968)"
Q5289717,"Dom (Jan Lenica/Walerian Borowczyk, 1958)"
Q122661833,"The Machine (Daniel Szczechura, 1963)"
Q122929124,"My Dearest Wish (Jan Špáta, 1965)"
Q122661808,"Per Aspera Ad Astra (Nedeljko Dragić, 1969)"
Q122929125,Demonstrations (1966)
Q774805,"The Joke (Jaromil Jireš, 1969)"
Q122929126,Merry Working Class (Bojana Marija)
Q3825168,"Labyrinth (Jan Lenica, 1962)"
Q104882421,Don Kihot (Vlado Kristl)
Q112869510,Not Everything That Flies Is a Bird (Borislav Sajtinac)
Q12754580,"Lipanjska gibanja (Želimir Žilnik, 1969)"
Q122929127,Jan Palach (1969)
Q15824929,"La tecnica e il rito (Miklós Jancsó, 1972)"
Q122661844,"Untitled (Borivoj Dovniković, 1965)"
Q104834371,"The Wall (Ante Zaninović, 1966)"
Q3040350,"Courage for Every Day (Evald Schorm, 1964)"
Q503046,"Andrei Rublev (Andrei Tarkovsky, 1966)"
Q4659196,"A Report on the Party and the Guests (Jan Němec, 1966)"
Q122929128,"Wandering (Jan Curik, 1965)"
Q2587098,"W.R.: Mysteries of the Organism (Dušan Makavejev, 1971)"
Q531109,"The Round-Up (Miklós Jancsó, 1966)"
Q232095,"Two Men and a Wardrobe (Roman Polanski, 1958)"
Q7713116,"The Alienist (Nelson Pereira dos Santos, 1970)"
Q2435697,"O Dragão da Maldade Contra o Santo Guerreiro (Glauber Rocha, 1969)"
Q4927841,"Blood of the Condor (Jorge Sanjinés, 1969)"
Q122830611,"Apropos of a Person Variously Called Holy Lazarus or Babaiu (Octavio Cortázar, 1968)"
Q122811231,"Child Undernourishment (Alvaro Ramírez, 1969)"
Q121316107,"Culebra (Diego de la Texera, 1971)"
