,section,title,director,country,year,wikidata
263,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,Walkover,Jerzy Skolimowski, Poland, 1965,Q3565431
264,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Zid),Ante Zaninovic, Yugoslavia, 1966,
265,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Bloudeni),Jan Curik and Antonin Masa, Czechoslavakia, 1965,
266,Subversion In Eastern Europe: Aesopian Metaphors - Part Two,(Wr - Misterije Organizma),Dusan Makavejev, Yugoslavia, 1971,Q2587098
267,The Third World: A New Cinema,Death Of A Bureaucrat,Tomas G. Alea, Cuba, 1966,Q6466264
268,The Third World: A New Cinema,A Report On Torture,Saul Landau and Haskell Wexler, Brazil, 1971,Q23302070
269,The Third World: A New Cinema,(Il Alienista),Nelson Pereira Dos Santos, Brazil, 1970,
270,The Third World: A New Cinema,Antonio-Das-Mortes,Glauber Rocha, Brazil, 1969,Q2435697
271,The Third World: A New Cinema,San Lazaro Y Otros Llaman Babalu),Octavio Cortazar, Cuba, 1968,
272,The Third World: A New Cinema,(Yawar Mallku),Jorge Sanjines, Bolivia, 1970,Q4927841
273,The Third World: A New Cinema,Memories Of Underdevelopment,Tomas G. Alea, Cuba, 1969,Q2645467
274,The Third World: A New Cinema,(Desnutricion Infantil),Alvaro Ramirez, Chile, 1969,
275,The Third World: A New Cinema,Culebra: The Beginning,Diego de la Texera, Puerto Rico, 1971,
276,The Third World: A New Cinema,Emitai,Ousmane Sembene, Senegal, 1971,Q5372649
277,The Third World: A New Cinema,(La Primera Carga Al Machete),Manuel Octavio Gomez, Cuba, 1969,Q16652571
278,The Third World: A New Cinema,(Os Deuses E Os Mortos),Ruy Guerra, Brazil, 1970,Q3232105
279,The Third World: A New Cinema,(Os Herdeiros),Carlos Diegues, Brazil, 1968/9,Q3233271
280,The Third World: A New Cinema,Lbj,Santiago Alvarez, Cuba, 1968,Q67401713
281,The Third World: A New Cinema,(The Money Order),Oushane Sembene, Senegal, 1968,Q2014254
282,The Third World: A New Cinema,Macunaima,Joachim Pedro de Andrade, Brazil, 1969,Q1576347
283,The Third World: A New Cinema,Now,Santiago Alvarez, Cuba, 1965,
284,The Third World: A New Cinema,Prato Palomares,Andre Faria, Brazil, 1970,
285,The Third World: A New Cinema,Que Hacer?,Saul Landau, James Becket, Raul Ruiz,Q8076381
286,The Third World: A New Cinema,(Reed: Mexico Insurgente),Paul Leduc, Mexico, 1971,Q7306615
287,The Third World: A New Cinema,The Twilight Of The Damned,Ahmed Rachedi, Algeria, 1970,
288,The Third World: A New Cinema,(La Formula Secreta),Ruben Gomez, Mexico, 1966,Q19516217
289,The Third World: A New Cinema,(79 Primaveras),Santiago Alvarez, Cuba, 1969,
290,The Third World: A New Cinema,(Tempo Di Violencia),Anonymous, Argentina, 1970,
291,The Third World: A New Cinema,(La Hora De Los Hornos),Fernando Solanas, Argentina, 1967,Q3950846
292,East Germany: Against The West,Aktion J,Walter Heynowski, East Germany, 1961,Q116770886
293,East Germany: Against The West,(Urlaub Auf Sylt),Annelie and Andrew Thorndike, East Germany, 1959,Q69356005
294,East Germany: Against The West,O.K.,Walter Heynowski, East Germany, 1964,
295,East Germany: Against The West,(Piloten Im Pyjama),Walter Heynowski and Gerhard Scheumann, East Germany, 1968,
296,East Germany: Against The West,(Feine Spielwaren - Made In Usa),Guenter Raetz, East Germany, 1969,
297,East Germany: Against The West,The Laughing Man,Walter Heynowski and Gerhard Scheumann, East Germany, 1967,Q1199308
298,The Terrible Poetry Of Nazi Cinema,(Triumph Des Willens),Leni Riefenstahl, Germany, 1936,Q156497
299,The Terrible Poetry Of Nazi Cinema,(Hitlerjunge Quex),Hans Steinoff, Germany, 1933,Q406920
300,The Terrible Poetry Of Nazi Cinema,(Feuertaufe),Hans Bertram, Germany, 1940,
301,The Terrible Poetry Of Nazi Cinema,Hans Westmar,Franz Wenzler, Germany, 1933,Q442253
302,The Terrible Poetry Of Nazi Cinema,(Jud Suss),Veit Harlan, Germany, 1940,Q818849
303,The Terrible Poetry Of Nazi Cinema,(Der Ewige Jude),Fritz Hippler, Germany, 1940,Q165642
304,Secrets And Revelations,The Rules Of The Game,Jean Renoir, France, 1938,Q748599
305,Secrets And Revelations,To Stop Worrying And Love The Bomb,Stanley Kubrick, Great Britain, 1964,Q105702
306,Secrets And Revelations,Acupunctural Anaesthesia,Peking Television, People's Republic of China, 1971?,
307,Secrets And Revelations,(Love),Yoji Kuri, Japan, 1964,
308,Secrets And Revelations,Beauty Knows No Pain,Elliot Erwitt, USA, 1971,
309,Secrets And Revelations,(Shonen),Nagisa Oshima, Japan, 1969,
310,Secrets And Revelations,The Casting,James Pasternak, USA, 1971,
311,Secrets And Revelations,The Criminal Life Of Archibaldo De La Cruz,Luis Bunuel, Mexico, 1955,Q776472
312,Secrets And Revelations,(Le Genou De Claire),Eric Rohmer, France, 1970,Q1094852
313,Secrets And Revelations,Cuckoo Waltz,Edward van Moerkerken, Holland, 1955,
314,Secrets And Revelations,Dinner Three Minutes,Jean-Paul Vroom, Netherlands, 1969,
315,Secrets And Revelations,The Dove,George Coe, USA, 1971,Q7730768
316,Secrets And Revelations,Dreams That Money Can Buy,Hans Richter, USA, 1948,Q2362995
317,Secrets And Revelations,Eikka Katappa,Werner Schroeter, West Germany, 1970,
318,Secrets And Revelations,Faces,John Cassavetes, USA, 1968,Q2241601
319,Secrets And Revelations,(Powszedni Dzien Gestapowsca Schmidta),Jerzy Ziarnik, Poland, 1964,
320,Secrets And Revelations,(Le Bonheur),Agnes Varda, France, 1966,Q1168501
321,Secrets And Revelations,Queen Kelly,Erich Von Stroheim, USA, 1928,Q288491
322,Secrets And Revelations,(Wie Ich Ein Schwarzer Wurde),Roland Gall, West Germany, 1970,
323,Secrets And Revelations,"(Ich Liebe Dich, Ich Tote Dich)",Uwe Brandner, West Germany, 1971,Q17630794
324,Secrets And Revelations,(Nihonto - Monogatari),T. Asano, Japan, 1958,
325,Secrets And Revelations,(Land Des Schweigens Und Der Dunkelheit),Werner Herzog, West Germany, 1971,Q2870474
326,Secrets And Revelations,"Margalit, The Highway Queen",Menahem Golan, Israel, 1971,
327,Secrets And Revelations,(Postschi),Daryush Mehrjui, Iran, 1971,
328,Secrets And Revelations,Putney Swope,Robert Downey, USA, 1969,Q7262376
329,Secrets And Revelations,(Paris Nous Appartient),Jacques Rivette, France, 1958/60,Q25513
330,Secrets And Revelations,(Le Revelateur),Phillippe Garrel, France, 1968,Q6507640
331,Secrets And Revelations,Salesman,David and Albert Maysles, USA, 1969,Q2586674
332,Secrets And Revelations,The Scandalous Adventures Of Buraikan,Masahiro Shinoda, Japan, 1970,Q2928298
333,Secrets And Revelations,The Path,Richard Myers, USA, 1961,
334,Secrets And Revelations,(Geschichten Vom Kubelkind),Ula Stoeckl and Edgar Reitz, West Germany, 1970,Q28788752
335,Secrets And Revelations,Titicut Follies,Frederick Wiseman, USA, 1967,Q144521
336,Secrets And Revelations,Fata Morgana,Werner Herzog, West Germany, 1970,Q2266061
337,The Power Of The Visual Taboo,The Bed,James Broughton, USA, 1967,
338,The Power Of The Visual Taboo,A Clockwork Orange,Stanley Kubrick, Great Britain, 1971,Q181086
339,The Power Of The Visual Taboo,"About Sex, But Were Afraid To Ask",Woody Allen, USA, 1972,Q499697
340,The Power Of The Visual Taboo,(Et Dieu Crea La Femme),Roger Vadim, France, 1956,Q1129547
341,The Power Of The Visual Taboo,Events,Fred Baker, USA, 1970,
342,The Power Of The Visual Taboo,The Bloodthirsty Fairy,Roland Lethem, Belgium, 1968,Q61978411
343,The Power Of The Visual Taboo,(Mama Und Papa),Otto Muehl, Austria, 1963/69,
344,The Power Of The Visual Taboo,Ordinary Fascism,Mikhail Romm, USSR, 1965,
345,The Power Of The Visual Taboo,Otmar Bauer Presents,Otmar Bauer, West Germany, 1970?,
346,The Power Of The Visual Taboo,The Act Of Seeing With One'S Own Eyes,Stan Brakhage, USA, 1972,Q7712293
347,The Power Of The Visual Taboo,Hiroshima,M. Ogasawara and Y. Matsukawa, Japan, 1970,
348,The Power Of The Visual Taboo,Vampyr,Carl Theodor Dreyer, Germany/France, 1931,Q304923
349,The Power Of The Visual Taboo,Strike,Sergei Eisenstein, USSR, 1924,Q151177
350,The Power Of The Visual Taboo,Vertigo,Alfred Hitchcock, USA, 1958,Q202548
351,The Attack On Puritanism: Nudity,Hallucinations,Peter Weiss, Sweden, 1952,
352,The Attack On Puritanism: Nudity,The Bed,James Broughton, USA, 1967,
353,The Attack On Puritanism: Nudity,The Most Beautiful Age,Jaroslav Papousek, Czechoslavakia, 1968,
354,The Attack On Puritanism: Nudity,Documentary Footage,Morgan Fisher, USA, 1968,
355,The Attack On Puritanism: Nudity,Ecstasy,Gustav Machaty, Czechoslavakia, 1933,Q369346
356,The Attack On Puritanism: Nudity,The Golden Positions,James Broughton, USA, 1970,
357,The Attack On Puritanism: Nudity,Le Gai Savoir,Jean-Luc Godard, France, 1969,Q2759885
358,The Attack On Puritanism: Nudity,Les Males,Gilles Carle, Canada, 1971,Q3234099
359,The Attack On Puritanism: Nudity,Vixen,Russ Meyer, USA, 1968,Q3561683
360,The Attack On Puritanism: Nudity,Fly,Yoko Ono, USA, 1971,
361,The Attack On Puritanism: Nudity,Number 4,Yoko Ono, Great Britain, 1968,
362,The Attack On Puritanism: Nudity,How Tasty Was My Little Frenchman,Nelson Pereira Dos Santos, Brazil, 1971,Q2615028
363,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Loves Of A Blonde,Milos Forman, Czechoslavakia, 1965,Q1214524
364,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,The Decameron,Pier Paolo Pasolini, Italy/France/Germany, 1970,Q720159
365,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,And God Created Woman,Roger Vadim, France, 1956,Q1129547
366,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Barbarella,Roger Vadim, France, 1968,Q41132
367,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Danish Blue,Gabriel Axel, Denmark, 1968,
368,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Black Pudding,Nancy Edell, Great Britain, 1971,
369,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,The Continuing Story Of Carel And Ferd,Arthur Ginsberg, USA, 1972,Q20874589
370,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Flesh,Paul Morrisey, USA, 1968,Q1428092
371,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Coming Apart,Milton Moses Ginsberg, USA, 1969,Q16950461
372,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Dear John,Lars Magnus Lindgren, Sweden, 1964,Q653375
373,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,The Lickerish Quartet,Radley Metzger, USA, 1970,Q7747101
374,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Everready,Anonymous, USA, circa 1925,
375,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Electrosex,Anonymous, USA, 1970,
376,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,"Make Love, Not War",Zlatko Grgic, Yugoslavia, 1971,
377,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Fuses,Carolee Schneemann, USA, 1964-67,Q111723679
378,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Fritz The Cat,Ralph Bakshi, USA, 1972,Q1418615
379,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,The Go-Between,Joseph Losey, Great Britain, 1971,Q664020
380,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Casanova,Alexander Wolkov, France, 1927,Q2940804
381,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part One,Blow-Up,Michelangelo Antonioni, Great Britain, 1966,Q658204
382,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,L'Opera Mouffe,Agnes Varda, France, 1958,Q3204570
383,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Last Tango In Paris,Bernardo Bertolucci, France/Italy, 1972,Q570567
384,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Echoes Of Silence,Peter Emanuel Goldman, USA, 1965,Q56306970
385,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,History Of The Blue Movie,Alex de Renzie, USA, 1971,Q4657342
386,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,(Jag Ar Nyfiken - Gul / Bla),Vilgot Sjoman, Sweden, 1967,
387,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,The Conformist,Bernardo Bertolucci, Italy/France/West Germany, 1970,Q1198812
388,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Kodak Love Poems,Andre Noren, USA, 1970,
389,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Belle De Jour,Luis Bunuel, France, 1966,Q470375
390,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Orange,Karen Johnson, USA, 1969,
391,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Quiet Days In Clichy,Jens Jorgen Thorsten, Denmark, 1970,Q1358956
392,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Psychomontage,Eberhard and Phyllis Kronhausen, USA, 1960?,
393,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Schoolgirl,David Reberg, USA, 1971,
394,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Secrets Of Life,Victor Faccinto, USA, 1971,
395,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Sex,David Avidan, Israel, 1971,
396,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Room Service 75,Fred Baker, USA, 1971,
397,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Shadow Of An Apple,Robert Lapoujade, France, 1965?,
398,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Kama Sutra Rides Again,Bob Godfrey, Great Britain, 1971,Q1674701
399,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Tales,Cassandra Gerstein, USA, 1970,
400,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Pandora'S Box,G.W. Pabst, Germany, 1928,Q700736
401,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,A Stranger Knocks,Johan Jacobsen, Denmark, 1963,Q12310044
402,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Pickpocket,Robert Bresson, France, 1958,Q664726
403,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Take Me,Stephen Dwoskin, Great Britain, 1969,
404,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Weekend,Jean-Luc Godard, France, 1968,Q1812267
405,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,What Goes On At Sex Therapy Clinics,Community Medical Cablecasting, USA, 1972,
406,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,She Done Him Wrong,Lowell Sherman, USA, 1933,Q62163
407,The End Of Sexual Taboos: Erotic And Pornographic Cinema - Part Two,Unfolding,Constance Beeson, USA, 1969,
408,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Satyricon,Federico Fellini, France/Italy, 1969,Q18416
409,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Holding,Constance Beeson, USA, 1971,
410,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,From The Lascivious Wotan,Otto Muehl, Austria, 1971,
411,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,The Queen,Frank Simon, USA, 1968,Q48968601
412,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,(L'Orribile Segreto Del Dottor Hitchcock),Riccardo Freda aka Robert Hampton, Italy, 1962,
413,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Some Like It Hot,Billy Wilder, USA, 1958,Q190086
414,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Belle De Jour,Luis Bunuel, France, 1966,Q470375
415,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,(La Fee Sanguinaire),Roland Lethum, Belgium, 1968,Q61978411
416,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,The Conformist,Bernardo Bertolucci, Italy/France/West Germany, 1970,Q1198812
417,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Blow Job,Andy Warhol, USA, 1963/64,Q885485
418,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Un Chant D'Amour,Jean Genet, France, 1950,Q1304788
419,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,(Mais Ne Nous Deliverez Pas Du Mal),Joel Seria, France, 1971,
420,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Cybele,Donald Ritchie, Japan, 1968,
421,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Emperor Tomato Ketchup,Shuji Terayama, Japan, 1972,Q822073
422,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,A Clockwork Orange,Stanley Kubrick, Great Britain, 1971,Q181086
423,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,"About Sex, But Were Afraid To Ask",Woody Allen, USA, 1972,Q499697
424,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Le Depart,Jerzy Skolimowski, Belgium, 1967,Q1197125
425,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Les Impures,Pierre Chevalier, France, 1954,Q3233304
426,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,(Shinjuku Dorobo Nikki),Nagisa Oshima, Japan, 1968/69,Q1137042
427,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,The Embryo,Koji Wakamatsu, Japan, 1966,Q2467132
428,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Fireworks,Kenneth Anger, USA, 1947,Q670589
429,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Flaming Creatures,Jack Smith, USA, 1962,Q947538
430,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Viridiana,Luis Bunuel, Spain/Mexico, 1961,Q852841
431,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Flesh Of Morning,Stan Brakhage, USA, 1956,
432,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,Fragment Of Seeking,Curtis Harrington, USA, 1946,
433,The End Of Sexual Taboos: Homosexuality And Other Variants - Part One,(Morte A Venezia),Luschino Visconti, Italy, 1971,Q742308
434,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,The Damned,Luschino Visconti, Italy/West Germany, 1969,Q637849
435,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Frenzy,Alfred Hitchcock, Great Britain, 1971,Q221587
436,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,The Servant,Joseph Losey, Great Britain, 1963,Q2264443
437,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Heat,Paul Morrisey, USA, 1972,Q1149669
438,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,"Sodern Die Situation, In Der Er Lebt)",Rosa von Praunheim, West Germany, 1971,
439,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Lovemaking,Stan Brakhage, USA, 1969,
440,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,M,Fritz Lang, Germany, 1931,Q127021
441,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Mona,Bill Osco, USA, 1970,
442,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,The Man From Onan,Alan Ruskin, USA, 1971,
443,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,(Souffle Au Coeur),Louis Malle, France, 1971,Q686059
444,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,(Besonders Wertvoll),Helmuth Costard, Germany, 1968,Q830018
445,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Portrait Of Jason,Shirley Clarke, USA, 1967,Q15052466
446,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Sodoma,Otto Muehl, Austria, 1970,
447,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,(Mama Und Papa),Otto Muehl, Austria, 1963-69,
448,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Verhalten Der Frauen Selber Zu Erkennen!),Helmuth Costard, West Germany, 1969,Q15805836
449,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Impudence In Grunwald,Guenter Brus and Otmar Bauer, Germany, 1969,
450,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,(Okasareta Byakui),Koji Wakamatsu, Japan, 1967,
451,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,(Hvorfor Goer De Det?),Phyllis and Eberhard Kronhausen, Denmark, 1971,
452,The End Of Sexual Taboos: Homosexuality And Other Variants - Part Two,Trash,Paul Morrisey, USA, 1970,Q963014
453,The First Mystery: Birth,Kirsa Nicholina,Gunvor Nelson, USA, 1970,
454,The First Mystery: Birth,All My Babies,George Stoney, USA, 1953,Q2326990
455,The First Mystery: Birth,(Sa Borgar Livet),Lars Wallen, Sweden, 1968,
456,The First Mystery: Birth,The Private Life Of A Cat,Alexander Hammid, USA, 1946,Q25999725
457,The First Mystery: Birth,Window Water Baby Moving,Stan Brakhage, USA, 1959,Q8024356
458,The Ultimate Secret: Death,Pigpen Aka Pigsty,Pier Paolo Pasolini, France/Italy, 1969,
459,The Ultimate Secret: Death,The Act Of Seeing With One'S Own Eyes,Stan Brakhage, USA, 1972,Q7712293
460,The Ultimate Secret: Death,Birth And Death,Arthur and Evelyn Barron, USA, 1968,
461,The Ultimate Secret: Death,(Le Sang Des Betes),Georges Franju, France, 1949,Q3226906
462,The Ultimate Secret: Death,Death Day,Visuals: Sergei Eisenstein, Mexico, 1934,Q18221294
463,The Ultimate Secret: Death,(Les Diaboliques),Henri-Georges Clouziot, France, 1955,Q739046
464,The Ultimate Secret: Death,The End Of One,Paul Kocela, USA, 1971,
465,The Ultimate Secret: Death,Death In Venice,Luschino Visconti, Italy, 1971,Q742308
466,The Ultimate Secret: Death,(Jeux Inderdits),Rene Clement, France, 1952,
467,The Ultimate Secret: Death,Germ And Chemical Warfare,CBS News, USA, 1968,
468,The Ultimate Secret: Death,Interviews With My Lai Veterans,Joseph Strick, USA, 1971,Q1671458
469,The Ultimate Secret: Death,The Cremator,Juraj Herz, Czechoslovakia, 1968,Q3178853
470,The Ultimate Secret: Death,It Is Good To Live,Fumio Kamei, Japan, 1958,
471,The Ultimate Secret: Death,(Posledni Veci Cloveka),Jovan Kubicek, Czechoslavakia, 1967,
472,The Ultimate Secret: Death,A Movie,Bruce Conner, USA, 1958,Q2650998
473,The Ultimate Secret: Death,Fly,Yoko Ono, Great Britain, 1970,
474,The Ultimate Secret: Death,Necrology,Standish Lawder, USA, 1969,
475,The Ultimate Secret: Death,Wintersoldier,Winterfilm Collective, USA, 1972,
476,The Ultimate Secret: Death,The Race,William Copland, Australia, 1970,
477,The Ultimate Secret: Death,(Zrcadleni),Evald Schorm, Czechoslavakia, 1965,
478,The Ultimate Secret: Death,The Loved One,Tony Richardson, Great Britain, 1965,Q1758096
479,The Ultimate Secret: Death,Rite Of Love And Death,Yukio Mishima, Japan, 1965,
480,The Ultimate Secret: Death,Sirius Remembered,Stan Brakhage, USA, 1959,
481,The Ultimate Secret: Death,(Vivre),Carlos Vilardebo, France, 1960?,
482,The Ultimate Secret: Death,(L'Aube Des Damnes),Ahmed Rachedi, Algeria, 1970,
483,The Ultimate Secret: Death,"Vietnam, Land Of Fire",No credits available, France, 1966,
484,The Ultimate Secret: Death,Episode In Love And The City,Michelangelo Antonioni, Italy, 1953,
485,The Ultimate Secret: Death,The War Game,Peter Watkins, Great Britain, 1965,Q1248388
486,The Ultimate Secret: Death,Death By Hanging,Nagisa Oshima, Japan, 1968,Q926134
487,The Ultimate Secret: Death,Ordinary Fascism,Mikhail Romm, USSR, 1965,
488,Concentration Camps,(Archaeologia),Andrzej Brzozowski, Poland, 1967,
489,Concentration Camps,(Mesto Darovane),Vladimir Kressl, Czechoslavakia, 1968,Q11775225
490,Concentration Camps,Camps Of The Dead,Allied cameramen, France, 1947,
491,Concentration Camps,(Motyli Tady Neziji),Miro Bernat, Czechoslovakia, 1958,Q44916819
492,Concentration Camps,Chotyn - 5 Km,Igor Kolovsky, USSR, 1968,
493,Concentration Camps,(Les Jeux Des Anges),Walerian Borowczyk, France, 1964,Q3830878
494,Concentration Camps,(Ghetto Terezin),Alfred Radok, Czechoslovakia, 1948,
495,Concentration Camps,(Bylem Kapo),Tadeusz Jaworski, Poland, 1964,
496,Concentration Camps,Memorandum,Donald Brittain and John Spotten, Canada, 1966,Q6815312
497,Concentration Camps,(Nuit Et Brouillard),Alain Resnais, France, 1955,Q706373
498,Concentration Camps,"Sighet, Sighet",Harold Becker, USA, 1967,
499,Concentration Camps,Warsaw Ghetto,Anonymous, Germany, 1943/44,
500,The Attack On God: Blasphemy And Anti-Clericalism,(Episode In Rogopag),Pier Paolo Pasolini, Italy, 1962,
501,The Attack On God: Blasphemy And Anti-Clericalism,L'Age D'Or,Luis Bunuel, France, 1930,Q946849
502,The Attack On God: Blasphemy And Anti-Clericalism,(Archandel Gabriel A Pani Husa),Jiri Trnka, Czechoslavakia, 1965,Q3202256
503,The Attack On God: Blasphemy And Anti-Clericalism,Golden Showers,James Broughton, USA, 1970,
504,The Attack On God: Blasphemy And Anti-Clericalism,Constitution And Censorship,Stephen Sharff, USA, 1953,
505,The Attack On God: Blasphemy And Anti-Clericalism,Viva La Muerte,Arrabal, France, 1971,Q3561417
506,The Attack On God: Blasphemy And Anti-Clericalism,Every Seventh Child,Jack Willis, USA, 1967,
507,The Attack On God: Blasphemy And Anti-Clericalism,Les Souffrances D'Un Oeuf Meurtri,Roland Lethem, Belgium, 1967,
508,The Attack On God: Blasphemy And Anti-Clericalism,L'Imitation Du Cinema,Marcel Marien, Belgium, 1959,Q14942129
509,The Attack On God: Blasphemy And Anti-Clericalism,Marjoe,Howard Smith and Sarah Kernochan, USA, 1972,Q1763495
510,The Attack On God: Blasphemy And Anti-Clericalism,Nazarin,Luis Bunuel, Mexico, 1958,Q386522
511,The Attack On God: Blasphemy And Anti-Clericalism,(Le Miracolo),Roberto Rossellini, Italy, 1948,
512,The Attack On God: Blasphemy And Anti-Clericalism,(Matka Joanna Od Aniolow),Jerzy Kawalerowicz, Poland, 1961,Q2339978
513,The Attack On God: Blasphemy And Anti-Clericalism,The Decameron,Pier Paolo Pasolini, Italy/France/West Germany, 1970,Q720159
514,The Attack On God: Blasphemy And Anti-Clericalism,A Note From Above,Derek Phillips, Great Britain, 1969,
515,The Attack On God: Blasphemy And Anti-Clericalism,(Maria-Empfangnis-Aktion-Hermann Nitsch),Irm and Ed Sommer, West Germany, 1969,
516,The Attack On God: Blasphemy And Anti-Clericalism,(La Religieuse),Jacques Rivette, France, 1965,Q965569
517,The Attack On God: Blasphemy And Anti-Clericalism,Rape,Wim van der Linden, Holland, 1966,
518,The Attack On God: Blasphemy And Anti-Clericalism,The Pilgrim,Charles Chaplin, USA, 1922,Q1151401
519,The Attack On God: Blasphemy And Anti-Clericalism,Roma,Federico Fellini, Italy, 1972,Q18423
520,The Attack On God: Blasphemy And Anti-Clericalism,Simon Of The Desert,Luis Bunuel, Mexico, 1966,Q2357585
521,The Attack On God: Blasphemy And Anti-Clericalism,Viridiana,Luis Bunuel, Mexico, 1961,Q852841
522,Trance And Witchcraft,Witchcraft Through The Ages,Benjamin Christensen, Sweden, 1922,Q1438966
523,Trance And Witchcraft,Images Of Madness,Eric Duvivier, France, 1950,
